"buyingcomp","compregion","compcountry","product","complementprod"
"""Antratek Electronics""","""Europe""","""Netherlands""","""Adafruit FONA 808 - Mini Cellular GSM + GPS Breakout""","""Passive GPS Antenna uFL - 15mm x 15mm 1 dBi gain"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731""","""LED Charlieplexed Matrix - 9x16 LEDs - Blue"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731""","""LED Charlieplexed Matrix - 9x16 LEDs - Green"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731""","""LED Charlieplexed Matrix - 9x16 LEDs - Red"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731""","""LED Charlieplexed Matrix - 9x16 LEDs - Yellow"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit DRV2605L Haptic Motor Controller""","""Vibrating Mini Motor Disc"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Feather RP2040 - Pink""","""Adafruit FeatherWing OLED - 128x32 OLED Add-on For Feather"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit ItsyBitsy M4 Express featuring ATSAMD51""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit LED Glasses Driver - nRF52840 Sensor Board""","""Adafruit LED Glasses Front Panel - 116 RGB LEDs with I2C Driver - STEMMA QT / Qwiic"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Matrix Portal - CircuitPython Powered Internet Display""","""32x32 RGB LED Matrix Panel - 5mm Pitch"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Matrix Portal - CircuitPython Powered Internet Display""","""32x32 RGB LED Matrix Panel - 6mm pitch"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Matrix Portal - CircuitPython Powered Internet Display""","""64x32 RGB LED Matrix - 3mm pitch"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Matrix Portal - CircuitPython Powered Internet Display""","""64x32 RGB LED Matrix - 4mm pitch"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Matrix Portal - CircuitPython Powered Internet Display""","""64x32 RGB LED Matrix - 5mm pitch"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit NeoPixel LED Strip Starter Pack - 30 LED meter - White""","""Adafruit Trinket - Mini Microcontroller - 5V Logic"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit QT Py RP2040""","""Monochrome 0.91\"" 128x32 I2C OLED Display - STEMMA QT / Qwiic"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit QT Py - SAMD21 Dev Board with STEMMA QT""","""Monochrome 0.91\"" 128x32 I2C OLED Display - STEMMA QT / Qwiic"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Triple-axis Magnetometer - LIS2MDL - STEMMA QT / Qwiic""","""Adafruit LSM6DSOX 6 DoF Accelerometer and Gyroscope - STEMMA QT / Qwiic"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Voice Bonnet for Raspberry Pi -Two Speakers + Two Mics""","""Adafruit STEMMA Non-Latching Mini Relay - JST PH 2mm"""
"""BerryBase""","""Europe""","""Germany""","""Adafruit Voice Bonnet for Raspberry Pi -Two Speakers + Two Mics""","""Mono Enclosed Speaker - 3W 4 Ohm"""
"""BerryBase""","""Europe""","""Germany""","""Black Rubber Joystick Nubbin Cap for Navigation Joystick""","""Thru-hole 5-way Navigation switch"""
"""BerryBase""","""Europe""","""Germany""","""LED Charlieplexed Matrix - 9x16 LEDs - Blue""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""BerryBase""","""Europe""","""Germany""","""LED Charlieplexed Matrix - 9x16 LEDs - Green""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""BerryBase""","""Europe""","""Germany""","""LED Charlieplexed Matrix - 9x16 LEDs - Red""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""BerryBase""","""Europe""","""Germany""","""LED Charlieplexed Matrix - 9x16 LEDs - Yellow""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""BerryBase""","""Europe""","""Germany""","""Thru-hole 5-way Navigation switch""","""Black Rubber Joystick Nubbin Cap for Navigation Joystick"""
"""BOTLAND B. DERKACZ SP.J.""","""Europe""","""Poland""","""Stacking M2.5 Hardware Kit for STEMMA QT and RP2040 Trinkey""","""Adafruit Trinkey QT2040 - RP2040 USB Key with Stemma QT"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit Feather 32u4 Adalogger""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit Feather 32u4 Adalogger""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit Feather 32u4 Basic Proto""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
